product_category_name_id,category_name
1,perfumaria
2,artes
3,esporte_lazer
4,bebes
5,utilidades_domesticas
6,instrumentos_musicais
7,cool_stuff
8,moveis_decoracao
9,eletrodomesticos
10,brinquedos
11,cama_mesa_banho
12,construcao_ferramentas_seguranca
13,informatica_acessorios
14,beleza_saude
15,malas_acessorios
16,ferramentas_jardim
17,moveis_escritorio
18,automotivo
19,eletronicos
20,fashion_calcados
21,telefonia
22,papelaria
23,fashion_bolsas_e_acessorios
24,pcs
25,casa_construcao
26,relogios_presentes
27,construcao_ferramentas_construcao
28,pet_shop
29,eletroportateis
30,agro_industria_e_comercio
31,moveis_sala
32,sinalizacao_e_seguranca
33,climatizacao
34,consoles_games
35,livros_interesse_geral
36,construcao_ferramentas_ferramentas
37,fashion_underwear_e_moda_praia
38,fashion_roupa_masculina
39,moveis_cozinha_area_de_servico_jantar_e_jardim
40,industria_comercio_e_negocios
41,telefonia_fixa
42,construcao_ferramentas_iluminacao
43,livros_tecnicos
44,eletrodomesticos_2
45,artigos_de_festas
46,bebidas
47,market_place
48,la_cuisine
49,construcao_ferramentas_jardim
50,fashion_roupa_feminina
51,casa_conforto
52,audio
53,alimentos_bebidas
54,musica
55,alimentos
56,tablets_impressao_imagem
57,livros_importados
58,portateis_casa_forno_e_cafe
59,fashion_esporte
60,artigos_de_natal
61,fashion_roupa_infanto_juvenil
62,dvds_blu_ray
63,artes_e_artesanato
64,pc_gamer
65,moveis_quarto
66,cine_foto
67,fraldas_higiene
68,flores
69,casa_conforto_2
70,portateis_cozinha_e_preparadores_de_alimentos
71,seguros_e_servicos
72,moveis_colchao_e_estofado
73,cds_dvds_musicais
