customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
c55a17a7c31353c35d48550b3aebc06f,578d5e6d37a20bbf631183feedfe2dea,35408,glaura,MG
7557541c9c578082c892cf185c3b0b47,7ee645e84a436c9dad3d5af253162fe7,8980,nossa senhora do remedio,SP
b1a5afc135d86a079003163cf95cecaf,924f226bd0426ed28ec908a135b18950,8980,nossa senhora do remedio,SP
78bebfa74709728a62d4a98efbde8ac0,fac8b5e914037fc2e2476783585f0769,65137,maioba,MA
8d1906125bb1f738d1f8a1d146ac3334,481a3e4c07971c950ac25f7317ac421b,65137,maioba,MA
3bd12f7c1ad3a3908905785e43de8603,2e5fb502adb87cf265468f4d2096d724,65137,maioba,MA
814dfd64a142fe2564faef3932b676b9,d647bd6f2997e98e04f7d84da752b873,28655,monnerat,RJ
4d12da03af6b4513c13c61dcc5171626,3858e59d2965f2cf2d49f28ea26ec172,28655,monnerat,RJ
9898e8eddc4e40527c7cda1dc8ef3a9f,23916bba358a757bc1a2962315e9ad15,28388,bom jesus do querendo,RJ
f341549b5b28a46a5b4db2f4372e36a2,b085fe730254d7b519bc1231da539c38,6930,cipo-guacu,SP
53c26135cf44344a6c00bf51771980c4,d394a89e0e5bb68d20c89d235ef59b06,36956,sao francisco do humaita,MG
b88b7689eba14a29896c654986bec727,ba2c1895f7a564980172df46b35fe611,35242,cuite velho,MG
e988b94fc82408ecac8299c744959c58,d01e20bfb741f8a5a4c2c8582617c580,29718,angelo frechiani,ES
4a5642b29f7d0885758928dc7ec35909,04f08b09dd9ae5d658be400b1b786c47,75784,domiciano ribeiro,GO
ce102f790bb667f9851019a3cb0ed958,d39601cf1486970b35aa481a78c726bc,75784,domiciano ribeiro,GO
cdc2bba36d83fe46dea8a0dce9453146,d36c4833ff5369ed3c7225ee636fbeb8,25840,bemposta,RJ
f58c14ad1417ae5e8f9c6d0f9f6aec24,04a5a9b154c83e4b19258dcd0e4476ed,85118,palmeirinha,PR
15d1ff96168e59165bb5ccf454b44b85,b4fa7b2b8c716cafcd505d8917a3b4be,85118,palmeirinha,PR
9d5ff5d7ce2e4bc386bf11b9adb46a19,b501aa16c4c71c55bd43d45d112bd135,95853,polo petroquimico de triunfo,RS
aa743174847b78266e47461b8bcd1bb5,b91103208abd5c826bd0bc26ec99c1a2,95572,mampituba,RS
dcef2fe349300ac52c962eb0f0fbc453,9eceb9f7c2bd232366d8b271461849c0,58734,passagem,PB
80ca2676141288b0fb864389fa7e49c5,cf717ffae55d20f545be20358a44f698,35104,sao vitor,MG
e76656ce4486a41da00e471277b1d1e9,acca556e877c4ee6aaa815349925fab6,17390,sao sebastiao da serra,SP
c785e91c77b1e2fc9f642dbf170adbd4,3f92cb2c68fd2cf3739143147003d165,36596,estevao de araujo,MG
f330cb20d9d9c5779de924d6a5fef754,3815e5fe3869fb75b982acc9da267b9f,48504,aribice,BA
e37623a7c983c5174d5aea2aad30a080,7d8edfd1d3efadef19da57a63d21ed92,83843,doce grande,PR
52e73a5d0a1d4c56b090cd70e0d678ee,b43530186123fb6d906380c873fdd9e6,62625,missi,CE
daf22b7353d8e5021df9894b32dd6b45,bfe6b5289dd1cec948d3714ae5453392,49870,itabi,SE
25efef823626e7fa4e74f0bc9db133d1,8b1ea5b8958ebfa320d33b80215dfbc6,85958,perola independente,PR
78519cf01865cbd8e54ae1dab60ef77e,e9a5ffad71fbb203da7c2661b647cc9a,19740,bora,SP
d198b40ba4bff0ab7ca1a37d872e9c5b,2f37a695478fbf531a61d086b444a634,44135,humildes,BA
59365a596fafb5488c739ac1e657f6ab,d5836fcbe2d26317c39caf19d08f21a7,28120,ibitioca,RJ
19bacb562bd43bd4eaf05b6c0a59dad0,c5f01991eadc43c924dfd891e9026217,87323,alto sao joao,PR
e6add8f4805cb6a382c26548daaed9d7,6c9871f7c55b411fabb59d9130b51e6d,65830,sambaiba,MA
8a629de914739aa508711c4311abf537,33af0bbf265311b13bf09d859309b52b,28575,jaguarembe,RJ
6f392cfb40b84e0857b16c23c773aa31,5399c9213ca365a480537a1b21423d2c,28160,santo eduardo,RJ
de6df770eafe17bbee77c0d639fd8878,d504041b9392f58cf4c72f75b1585f9f,28160,santo eduardo,RJ
ed19fa6ce948d52be769926c2baaa17c,0124721bc33e0aa6772b42d4ccfd01db,38710,major porto,MG
437dde455d8442c3e2b3dc1a7063ed2b,debfd498dbaea30ddf7060085ec4beed,36248,conceicao do formoso,MG
786cc4eab38165553b0fb0c53a35817a,9762e6c31b598116ac89680124fe173e,39103,guinda,MG
aa4c5b95810a5d4b1bf2cc56e7d76cd6,41db2509d2fd3e2fe68e88deedaa0c1b,59299,poco de pedra,RN
7b0a3a430a7e8b6183eac952df55cb07,e1bc4856f3e7b2a04eb051153f7e3bd8,85894,sao clemente,PR
7d643c6504deebe6d2ab830865d71584,24abf93a73a57ab3fe56df52deb2c6c5,36857,pinhotiba,MG
aacd2c89b47bcc2aa875ea9b1f64955d,a33bb670bdfc972c485c44923aece1df,42843,jaua,BA
535a05f4c66c1ebb2b8c6a537a7f2149,e68be0a3138a025690efbc7275b629e8,86996,sao miguel do cambui,PR
b6d6fadbee4df0e3c0aab81a046124a6,69b09832dc41358029209b44f47854ff,58286,pitanga de estrada,PB
8b20eb37b30208feef373de67fc749e0,c9d0b6cc7d9fccb750ba1cc6c4b76ecb,38627,palmital de minas,MG
f792e419335df11d82c32efcfb09c51b,c04c085b8e7573ba87b9ae1968d0985e,28530,sao sebastiao do paraiba,RJ
78a11bb1fa72f556996b9a5b9bcd0629,e7536f62a200b415edd9491ac12a17fa,55863,siriji,PE
